scientific	common	links	image	url	thumbnail	order	family	type
Dielis tolteca	Toltec Scoliid Wasp	dielis-tolteca	images/mojave-insects/dielis-tolteca.jpg	mojave-insects/dielis-tolteca.html	images/mojave-insects-thumbnails/dielis-tolteca-t.jpg	"Hymenoptera (Wasps, Bees, and Ants)"	Scoliidae (Scoliid Wasps)	Wasp
Dione vanillae	Gulf Fritillary	dione-vanillae	images/mojave-insects/dione-vanillae.jpg	mojave-insects/dione-vanillae.html	images/mojave-insects-thumbnails/dione-vanillae-t.jpg	"Lepidoptera (Butterflies, and Moths)"	Nymphalidae (Brush-footed Butterflies)	Butterfly
Eurema nicippe	Sleepy Orange	eurema-nicippe	images/mojave-insects/eurema-nicippe.jpg	mojave-insects/eurema-nicippe.html	images/mojave-insects-thumbnails/eurema-nicippe-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	Butterfly
Leptotes marina	Marine Blue	leptotes-marina	images/mojave-insects/leptotes-marina.jpg	mojave-insects/leptotes-marina.html	images/mojave-insects-thumbnails/leptotes-marina-t.jpg	"Lepidoptera (Butterflies, and Moths)"	Lycaenidae (Gossamer-winged Butterflies)	Butterfly
Libellula pulchella	Twelve-spotted Skimmer	libellula-pulchella	images/mojave-insects/libellula-pulchella.jpg	mojave-insects/libellula-pulchella.html	images/mojave-insects-thumbnails/libellula-pulchella-t.jpg	Odonata (Dragonflies and Damselflies)	Libellulidae (Skimmers)	Dragonfly
Neoscona oaxacensis	Western Spotted Orbweaver	neoscona-oaxacensis	images/mojave-insects/neoscona-oaxacensis.jpg	mojave-insects/neoscona-oaxacensis.html	images/mojave-insects-thumbnails/neoscona-oaxacensis-t.jpg	Araneae (Spiders)	Araneidae (Orb-weaver Spiders)	Spider
Nymphalis antiopa	Mourning Cloak Butterfly	nymphalis-antiopa	images/mojave-insects/nymphalis-antiopa.jpg	mojave-insects/nymphalis-antiopa.html	images/mojave-insects-thumbnails/nymphalis-antiopa-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Ochlodes yuma	Yuma Skipper	ochlodes-yuma	images/mojave-insects/ochlodes-yuma.jpg	mojave-insects/ochlodes-yuma.html	images/mojave-insects-thumbnails/ochlodes-yuma-t.jpg	Lepidoptera (Butterflies and Moths)	Hesperiidae (Skippers)	Skipper
Papilio machaon	Baird's Swallowtail	papilio-machaon	images/mojave-insects/papilio-machaon.jpg	mojave-insects/papilio-machaon.html	images/mojave-insects-thumbnails/papilio-machaon-t.jpg	Lepidoptera (Butterflies and Moths)	Papilionidae (Swallowtails)	Butterfly
Pepsis thisbe	Tarantula Hawk	pepsis-thisbe	images/mojave-insects/pepsis-thisbe.jpg	mojave-insects/pepsis-thisbe.html	images/mojave-insects-thumbnails/pepsis-thisbe-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Pompilidae (Spider Wasp)	Wasp
Perithemis intensa	Mexican Amberwing	perithemis-intensa	images/mojave-insects/perithemis-intensa.jpg	mojave-insects/perithemis-intensa.html	images/mojave-insects-thumbnails/perithemis-intensa-t.jpg	"Odonata (Dragonflies, and Damselflies)"	Libellulidae (Skimmers)	Dragonfly
Sphecius convallis	Pacific Cicada Killer	sphecius-convallis	images/mojave-insects/sphecius-convallis.jpg	mojave-insects/sphecius-convallis.html	images/mojave-insects-thumbnails/sphecius-convallis-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Bembicidae (Wasps)	Wasp
Strymon melinus	Gray Hairstreak	strymon-melinus	images/mojave-insects/strymon-melinus.jpg	mojave-insects/strymon-melinus.html	images/mojave-insects-thumbnails/strymon-melinus-t.jpg	Lepidoptera (Butterflies and Moths)	Lycaenidae (Gossamer-winged Butterflies)	Butterfly
Acmaeodera rubronotata	Jewel Beetle	acmaeodera-rubronotata	images/mojave-insects/acmaeodera-rubronotata.jpg	mojave-insects/acmaeodera-rubronotata.html	images/mojave-insects-thumbnails/acmaeodera-rubronotata-t.jpg	Coleoptera (Beetles)	Buprestidae (Metallic Wood-boring Beetles)	Beetle
Adelpha eulalia	Arizona Sister	adelpha-eulalia	images/mojave-insects/adelpha-eulalia.jpg	mojave-insects/adelpha-eulalia.html	images/mojave-insects-thumbnails/adelpha-eulalia-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Allograpta exotica	Exotic Streaktail	allograpta-exotica	images/mojave-insects/allograpta-exotica.jpg	mojave-insects/allograpta-exotica.html	images/mojave-insects-thumbnails/allograpta-exotica-t.jpg	Diptera (Flies)	Syrphidae (Hoverflies)	Fly
Anthophora urbana	Urbane Digger Bee	anthophora-urbana	images/mojave-insects/anthophora-urbana.jpg	mojave-insects/anthophora-urbana.html	images/mojave-insects-thumbnails/anthophora-urbana-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Apidae (Bees)	Bee
Callophrys spinetorum	Thicket Hairstreak	callophrys-spinetorum	images/mojave-insects/callophrys-spinetorum.jpg	mojave-insects/callophrys-spinetorum.html	images/mojave-insects-thumbnails/callophrys-spinetorum-t.jpg	Lepidoptera (Butterflies and Moths)	Lycaenidae (Gossamer-winged Butterflies)	Butterfly
Colias christina	Christina Sulphur	colias-christina	images/mojave-insects/colias-christina.jpg	mojave-insects/colias-christina.html	images/mojave-insects-thumbnails/colias-christina-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Copestylum mexicanum	Mexican Cactus Fly	copestylum-mexicanum	images/mojave-insects/copestylum-mexicanum.jpg	mojave-insects/copestylum-mexicanum.html	images/mojave-insects-thumbnails/copestylum-mexicanum-t.jpg	Diptera (Flys)	Syrphidae (Hoverflies)	Fly
Eupeodes fumipennis	Western Aphideater	eupeodes-fumipennis	images/mojave-insects/eupeodes-fumipennis.jpg	mojave-insects/eupeodes-fumipennis.html	images/mojave-insects-thumbnails/eupeodes-fumipennis-t.jpg	Diptera (Flies)	Syrphidae (Hoverflies)	Fly
Junonia coenia	Common Buckeye	junonia-coenia	images/mojave-insects/junonia-coenia.jpg	mojave-insects/junonia-coenia.html	images/mojave-insects-thumbnails/junonia-coenia-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Megachile texana	Texas Leafcutter Bee	megachile-texana	images/mojave-insects/megachile-texana.jpg	mojave-insects/megachile-texana.html	images/mojave-insects-thumbnails/megachile-texana-t.jpg	"Hymenoptera (Ants, Bees and Wasps)"	Megachilidae (Solitary Bees)	Bee
Palpada alhambra	Single-banded Plushback	palpada-alhambra	images/mojave-insects/palpada-alhambra.jpg	mojave-insects/palpada-alhambra.html	images/mojave-insects-thumbnails/palpada-alhambra-t.jpg	Diptera (Flies)	Syrphidae (Hoverflies)	Fly
Phormia regina	Black Blow Fly	phormia-regina	images/mojave-insects/phormia-regina.jpg	mojave-insects/phormia-regina.html	images/mojave-insects-thumbnails/phormia-regina-t.jpg	Diptera (Flies)	Calliphoridae (Blowflies)	Fly
Sphecodes ranunculi	Buttercup Blood Bee	sphecodes-ranunculi	images/mojave-insects/sphecodes-ranunculi.jpg	mojave-insects/sphecodes-ranunculi.html	images/mojave-insects-thumbnails/sphecodes-ranunculi-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Halictidae (Sweat Bees)	Bee
Sphex ichneumoneus	Great Golden Digger Wasp	sphex-ichneumoneus	images/mojave-insects/sphex-ichneumoneus.jpg	mojave-insects/sphex-ichneumoneus.html	images/mojave-insects-thumbnails/sphex-ichneumoneus-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Sphecidae (Wasps)	Wasp
Stelis laticincta	Wide-striped Painted-dark Bee	stelis-laticincta	images/mojave-insects/stelis-laticincta.jpg	mojave-insects/stelis-laticincta.html	images/mojave-insects-thumbnails/stelis-laticincta-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Vanessa atalanta	Red Admiral	vanessa-atalanta	images/mojave-insects/vanessa-atalanta.jpg	mojave-insects/vanessa-atalanta.html	images/mojave-insects-thumbnails/vanessa-atalanta-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Brephidium exilis	Western Pygmy Blue	brephidium-exilis	images/mojave-insects/brephidium-exilis.jpg	mojave-insects/brephidium-exilis.html	images/mojave-insects-thumbnails/brephidium-exilis-t.jpg	Lepidoptera (Butterflies and Moths)	Lycaenidae (Gossamer-winged Butterflies)	Butterfly
Chlosyne lacinia	Bordered Patch	chlosyne-lacinia	images/mojave-insects/chlosyne-lacinia.jpg	mojave-insects/chlosyne-lacinia.html	images/mojave-insects-thumbnails/chlosyne-lacinia-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Chrysoperla comanche	Comanche Lacewing	chrysoperla-comanche	images/mojave-insects/chrysoperla-comanche.jpg	mojave-insects/chrysoperla-comanche.html	images/mojave-insects-thumbnails/chrysoperla-comanche-t.jpg	Neuroptera (Net-winged Insects)	Chrysopidae (Green lacewings)	Lacewing
Dielis pilipes	Hairy-footed Scoliid Wasp	dielis-pilipes	images/mojave-insects/dielis-pilipes.jpg	mojave-insects/dielis-pilipes.html	images/mojave-insects-thumbnails/dielis-pilipes-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Scoliidae (Scolid Wasps)	Wasp
Ectemnius cephalotes	Large Ectemnius	ectemnius-cephalotes	images/mojave-insects/ectemnius-cephalotes.jpg	mojave-insects/ectemnius-cephalotes.html	images/mojave-insects-thumbnails/ectemnius-cephalotes-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Crabronidae (Wasps)	Wasp
Hesperia colorado	Spring Mountains Comma Skipper	hesperia-colorado	images/mojave-insects/hesperia-colorado.jpg	mojave-insects/hesperia-colorado.html	images/mojave-insects-thumbnails/hesperia-colorado-t.jpg	Lepidoptera (Butterflies and Moths)	Hesperiidae (Skippers)	Skipper
Melanoplus differentialis	Differential Grasshopper	melanoplus-differentialis	images/mojave-insects/melanoplus-differentialis.jpg	mojave-insects/melanoplus-differentialis.html	images/mojave-insects-thumbnails/melanoplus-differentialis-t.jpg	"Orthoptera (Grasshoppers, Locusts, and Crickets)"	Acrididae (Grasshoppers)	Grasshopper
Nymphalis californica	California Tortoiseshell	nymphalis-californica	images/mojave-insects/nymphalis-californica.jpg	mojave-insects/nymphalis-californica.html	images/mojave-insects-thumbnails/nymphalis-californica-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Phidippus californicus	California Jumping Spider	phidippus-californicus	images/mojave-insects/phidippus-californicus.jpg	mojave-insects/phidippus-californicus.html	images/mojave-insects-thumbnails/phidippus-californicus-t.jpg	Araneae (Spiders)	Salticidae (Jumping Spiders)	Spider
Poecilanthrax californicus	Bee Fly	poecilanthrax-californicus	images/mojave-insects/poecilanthrax-californicus.jpg	mojave-insects/poecilanthrax-californicus.html	images/mojave-insects-thumbnails/poecilanthrax-californicus-t.jpg	Diptera (Flies)	Bombyliidae (Bee Flies)	Fly
Pontia beckerii	Becker's White	pontia-beckerii	images/mojave-insects/pontia-beckerii.jpg	mojave-insects/pontia-beckerii.html	images/mojave-insects-thumbnails/pontia-beckerii-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Xanthomelanodes arcuatus	Tachinid Fly	xanthomelanodes-arcuatus	images/mojave-insects/xanthomelanodes-arcuatus.jpg	mojave-insects/xanthomelanodes-arcuatus.html	images/mojave-insects-thumbnails/xanthomelanodes-arcuatus-t.jpg	Diptera (Flies)	Tachinidae (Tachinids)	Fly
Sphex pensylvanicus	Great Black Wasp	sphex-pensylvanicus	images/mojave-insects/sphex-pensylvanicus.jpg	mojave-insects/sphex-pensylvanicus.html	images/mojave-insects-thumbnails/sphex-pensylvanicus-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Sphecidae (Wasps)	Wasp
Steniolia longirostra	Sand Wasp	steniolia-longirostra	images/mojave-insects/steniolia-longirostra.jpg	mojave-insects/steniolia-longirostra.html	images/mojave-insects-thumbnails/steniolia-longirostra-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Bembicidae (Apoid Wasps)	Wasp
Agapostemon angelicus	Angelic Sweat Bee	agapostemon-angelicus	images/mojave-insects/agapostemon-angelicus.jpg	mojave-insects/agapostemon-angelicus.html	images/mojave-insects-thumbnails/agapostemon-angelicus-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Halictidae (Sweat Bees)	Bee
Diadasia enavata	Sunflower Chimney Bee	diadasia-enavata	images/mojave-insects/diadasia-enavata.jpg	mojave-insects/diadasia-enavata.html	images/mojave-insects-thumbnails/diadasia-enavata-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Apidae (Bees)	Bee
Efferia albibarbis	Sand Hammertail	efferia-albibarbis	images/mojave-insects/efferia-albibarbis.jpg	mojave-insects/efferia-albibarbis.html	images/mojave-insects-thumbnails/efferia-albibarbis-t.jpg	Diptera (Flies)	Asilidae (Robber Fly)	Fly
Euodynerus annulatus	Ringed Mason Wasp	euodynerus-annulatus	images/mojave-insects/euodynerus-annulatus.jpg	mojave-insects/euodynerus-annulatus.html	images/mojave-insects-thumbnails/euodynerus-annulatus-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Vespidae (Social Wasps)	Wasp
Hetaerina americana	American Rubyspot	hetaerina-americana	images/mojave-insects/hetaerina-americana.jpg	mojave-insects/hetaerina-americana.html	images/mojave-insects-thumbnails/hetaerina-americana-t.jpg	Odonata (Dragonflies and Damselflies)	Calopterygidae (Broad-winged Damselflies)	Damselfly
Heterostylum robustum	Bomber Fly	heterostylum-robustum	images/mojave-insects/heterostylum-robustum.jpg	mojave-insects/heterostylum-robustum.html	images/mojave-insects-thumbnails/heterostylum-robustum-t.jpg	Diptera (Flies)	Bombyliidae (Bomber Flies)	Fly
Megachile lippiae	Lippia Leafcutter Bee	megachile-lippiae	images/mojave-insects/megachile-lippiae.jpg	mojave-insects/megachile-lippiae.html	images/mojave-insects-thumbnails/megachile-lippiae-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Megachilidae (Leafcutter Bees)	Bee
Polistes aurifer	Golden Paper Wasp	polistes-aurifer	images/mojave-insects/polistes-aurifer.jpg	mojave-insects/polistes-aurifer.html	images/mojave-insects-thumbnails/polistes-aurifer-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Vespidae (Social Wasps)	Wasp
Pontia protodice	Checkered White Butterfly	pontia-protodice	images/mojave-insects/pontia-protodice.jpg	mojave-insects/pontia-protodice.html	images/mojave-insects-thumbnails/pontia-protodice-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Eristalis stipator	Yellow-shouldered Drone Fly	eristalis-stipator	images/mojave-insects/eristalis-stipator.jpg	mojave-insects/eristalis-stipator.html	images/mojave-insects-thumbnails/eristalis-stipator-t.jpg	Diptera (Flies)	Syrphidae (Hoverflies)	Fly
