scientific	common	links	image	url	thumbnail	order	family	type
Pieris rapae	Cabbage White	pieris-rapae	images/mojave-insects/pieris-rapae.jpg	mojave-insects/pieris-rapae.html	images/mojave-insects-thumbnails/pieris-rapae-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	Butterfly
Pontia occidentalis	Western White	pontia-occidentalis	images/mojave-insects/pontia-occidentalis.jpg	mojave-insects/pontia-occidentalis.html	images/mojave-insects-thumbnails/pontia-occidentalis-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	Butterfly
Vanessa cardui	Painted Lady	vanessa-cardui	images/mojave-insects/vanessa-cardui.jpg	mojave-insects/vanessa-cardui.html	images/mojave-insects-thumbnails/vanessa-cardui-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	Butterfly
Xylocopa tabaniformis	Horsefly-like Carpenter Bee	xylocopa-tabaniformis	images/mojave-insects/xylocopa-tabaniformis.jpg	mojave-insects/xylocopa-tabaniformis.html	images/mojave-insects-thumbnails/xylocopa-tabaniformis-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Apidae (Bees)	Bee
Libytheana carinenta	American Snout	libytheana-carinenta	images/mojave-insects/libytheana-carinenta.jpg	mojave-insects/libytheana-carinenta.html	images/mojave-insects-thumbnails/libytheana-carinenta-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Eupeodes volucris	Large-tailed Aphideater	eupeodes-volucris	images/mojave-insects/eupeodes-volucris.jpg	mojave-insects/eupeodes-volucris.html	images/mojave-insects-thumbnails/eupeodes-volucris-t.jpg	Diptera (Flies)	Diptera (Hoverflies)	Fly
Gryllus lineaticeps	Variable Field Cricket	gryllus-lineaticeps	images/mojave-insects/gryllus-lineaticeps.jpg	mojave-insects/gryllus-lineaticeps.html	images/mojave-insects-thumbnails/gryllus-lineaticeps-t.jpg	"order: Orthoptera (Grasshoppers, Locusts, and Crickets)"	Gryllidae (Crickets)	Cricket
Lucilia sericata	Common Green Bottle Fly	lucilia-sericata	images/mojave-insects/lucilia-sericata.jpg	mojave-insects/lucilia-sericata.html	images/mojave-insects-thumbnails/lucilia-sericata-t.jpg	Diptera (Flies)	Calliphoridae (Blowflies)	Fly
Myrmecocystus mexicanus	Mexican Honeypot Ant	myrmecocystus-mexicanus	images/mojave-insects/myrmecocystus-mexicanus.jpg	mojave-insects/myrmecocystus-mexicanus.html	images/mojave-insects-thumbnails/myrmecocystus-mexicanus-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Formicidae (Ants)	Ant
Pantala hymenaea	Spot-winged Glider	pantala-hymenaea	images/mojave-insects/pantala-hymenaea.jpg	mojave-insects/pantala-hymenaea.html	images/mojave-insects-thumbnails/pantala-hymenaea-t.jpg	Odonata (Dragonflies and Damselflies)	"Libellulidae (Chasers, Darters, Skimmers)"	Dragonfly
Polistes apachus	Apache Wasp	polistes-apachus	images/mojave-insects/polistes-apachus.jpg	mojave-insects/polistes-apachus.html	images/mojave-insects-thumbnails/polistes-apachus-t.jpg	"Hymenoptera (Wasps, Bees, Ants)"	Vespidae (Eusocial Wasps)	Wasp
Vanessa annabella	West Coast Lady	vanessa-annabella	images/mojave-insects/vanessa-annabella.jpg	mojave-insects/vanessa-annabella.html	images/mojave-insects-thumbnails/vanessa-annabella-t.jpg	Lepidoptera (Butterflies and Moths)	Nymphalidae (Brush-footed Butterflies)	Butterfly
Trimerotropis pallidipennis	Pallid-winged Grasshopper	trimerotropis-pallidipennis	images/mojave-insects/trimerotropis-pallidipennis.jpg	mojave-insects/trimerotropis-pallidipennis.html	images/mojave-insects-thumbnails/trimerotropis-pallidipennis-t.jpg	"Orthoptera (Grasshoppers, Locusts, and Crickets)"	Acrididae (Grasshoppers)	Grasshopper
Argia funebris	Springwater Dancer	argia-funebris	images/mojave-insects/argia-funebris.jpg	mojave-insects/argia-funebris.html	images/mojave-insects-thumbnails/argia-funebris-t.jpg	Odonata (Damselflies and Dragonflies)	Coenagrionidae (Damselflies)	Damselfly
Argia moesta	Powdered Dancer	argia-moesta	images/mojave-insects/argia-moesta.jpg	mojave-insects/argia-moesta.html	images/mojave-insects-thumbnails/argia-moesta-t.jpg	Odonata (Damselflies and Dragonflies)	Coenagrionidae (Damselflies)	Damselfly
Ischnura ramburii	Rambur's forktail	ischnura-ramburii	images/mojave-insects/ischnura-ramburii.jpg	mojave-insects/ischnura-ramburii.html	images/mojave-insects-thumbnails/ischnura-ramburii-t.jpg	Odonata (Damselflies and Dragonflies)	Coenagrionidae (Damselflies)	Damselfly
Rhionaeschna multicolor	Blue-eyed Darner	rhionaeschna-multicolor	images/mojave-insects/rhionaeschna-multicolor.jpg	mojave-insects/rhionaeschna-multicolor.html	images/mojave-insects-thumbnails/rhionaeschna-multicolor-t.jpg	Odonata (Damselflies and Dragonflies)	"Aeshnidae (Aeshnids, Hawkers, or Darners)"	Dragonfly
Sphex lucae	Thread-waisted Wasp	sphex-lucae	images/mojave-insects/sphex-lucae.jpg	mojave-insects/sphex-lucae.html	images/mojave-insects-thumbnails/sphex-lucae-t.jpg	"Hymenoptera (Wasps, Bees and Ants)"	Sphecidae (Wasps)	Wasp
