name	scientific	link	url	family	family-common	color	type	image	location																						
Desert Rock Nettle	Eucnide urens	eucnide-urens	mojave-plants-perennials/eucnide-urens.html	Loasaceae	Loasa	"white, yellow"	Perennial	images/mojave-plants-thumbnails/eucnide-urens-t.jpg																							
Apache Plume	Fallugia paradoxa	fallugia-paradoxa	mojave-plants-shrubs/fallugia-paradoxa.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/fallugia-paradoxa-t.jpg																							
California Barrel Cactus	Ferocactus cylindraceus	ferocactus-cylindraceus	mojave-plants-cactus/ferocactus-cylindraceus.html	Cactaceae	Cactus	cactus	Cactus	images/mojave-plants-thumbnails/ferocactus-cylindraceus-t.jpg	oc																						
Richardson’s Geranium	Geranium richardsonii	geranium-richardsonii	mojave-plants-perennials/geranium-richardsonii.html	Geraniaceae	Geranium	white pink	Perennial	images/mojave-plants-thumbnails/geranium-richardsonii-t.jpg																							
Southwestern Mock Vervain	Glandularia gooddingii	glandularia-gooddingii	mojave-plants-perennials/glandularia-gooddingii.html	Verbenaceae	Verbena	"purple, pink"	Perennial	images/mojave-plants-thumbnails/glandularia-gooddingii-t.jpg																							
Broom Snakeweed	Gutierrezia sarothrae	gutierrezia-sarothrae	mojave-plants-perennials/gutierrezia-sarothrae.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/gutierrezia-sarothrae-t.jpg																							
Oneflower	Helianthella uniflora	helianthella-uniflora	mojave-plants-perennials/helianthella-uniflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/helianthella-uniflora-t.jpg																							
Common Sunflower	Helianthus annuus	helianthus-annuus	mojave-plants-annuals/helianthus-annuus.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/helianthus-annuus-t.jpg																							
Showy Goldeneye	Heliomeris multiflora	heliomeris-multiflora	mojave-plants-perennials/heliomeris-multiflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-t.jpg																							
Nevada Goldeneye	Heliomeris multiflora var. nevadensis	heliomeris-multiflora	mojave-plants-perennials/heliomeris-multiflora-nevadensis.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-nevadensis-t.jpg																							
Pingue Rubberweed	Hymenoxys richardsonii	hymenoxys-richardsonii	mojave-plants-perennials/hymenoxys-richardsonii.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/hymenoxys-richardsonii-t.jpg																							
Winterfat	Krascheninnikovia lanata	krascheninnikovia-lanata	mojave-plants-shrubs/krascheninnikovia-lanata.html	Amaranthaceae	Amaranth	white	Shrub	images/mojave-plants-thumbnails/krascheninnikovia-lanata-t.jpg	oc																						
Prickly Lettuce	Lactuca serriola	lactuca-serriola	mojave-plants-weeds/lactuca-serriola.html	Asteraceae	Sunflower	yellow	Weed	images/mojave-plants-thumbnails/lactuca-serriola-t.jpg																							
Tall Whitetop	Lepidium latifolium	lepidium-latifolium	mojave-plants-weeds/lepidium-latifolium.html	Brassicaceae	Mustard	white	Weed	images/mojave-plants-thumbnails/lepidium-latifolium-t.jpg																							
Nuttall’s Linanthus	Leptosiphon nuttallii ssp. pubescens	leptosiphon-nuttallii	mojave-plants-perennials/leptosiphon-nuttallii.html	Polemoniaceae	Phlox	white	Perennial	images/mojave-plants-thumbnails/leptosiphon-nuttallii-t.jpg																							
Oxeye Daisy	Leucanthemum vulgare	leucanthemum-vulgare	mojave-plants-perennials/leucanthemum-vulgare.html	Asteraceae	Sunflower	white yellow	Perennial	images/mojave-plants-thumbnails/leucanthemum-vulgare-t.jpg																							
Balkan Toadflax	Linaria dalmatica	linaria-dalmatica	mojave-plants-weeds/linaria-dalmatica.html	Plantaginaceae	Plantain	yellow orange	Weed	images/mojave-plants-thumbnails/linaria-dalmatica-t.jpg																							
Lewis Flax	Linum lewisii	linum-lewisii	mojave-plants-perennials/linum-lewisii.html	Linaceae	Flax	"white, blue, purple"	Perennial	images/mojave-plants-thumbnails/linum-lewisii-t.jpg																							
Silvery Lupine	Lupinus argenteus	lupinus-argenteus	mojave-plants-perennials/lupinus-argenteus.html	Fabaceae	Pea	blue violet	Perennial	images/mojave-plants-thumbnails/lupinus-argenteus-t.jpg																							
Velvet Lupine	Lupinus leucophyllus	lupinus-leucophyllus	mojave-plants-perennials/lupinus-leucophyllus.html	Fabaceae	Pea	"white, purple"	Perennial	images/mojave-plants-thumbnails/lupinus-leucophyllus-t.jpg	oc																						
Fremont’s Desert-Thorn	Lycium fremontii	lycium-fremontii	mojave-plants-shrubs/lycium-fremontii.html	Solanaceae	Nightshades	"purple, white"	Shrub	images/mojave-plants-thumbnails/lycium-fremontii-t.jpg																							
Desert Dandelion	Malacothrix glabrata	malacothrix-glabrata	mojave-plants-annuals/malacothrix-glabrata.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/malacothrix-glabrata-t.jpg																							
Sweet Yellow Clover	Melilotus officinalis	melilotus-officinalis	mojave-plants-perennials/melilotus-officinalis.html	Fabaceae	Pea	yellow	Perennial	images/mojave-plants-thumbnails/melilotus-officinalis-t.jpg																							
Spiny Menodora	Mendora spinescens 	mendora-spinescens	mojave-plants-shrubs/mendora-spinescens.html	Oleaceae 	Olive	white	Shrub	images/mojave-plants-thumbnails/mendora-spinescens-t.jpg	oc																						
Aspen Bluebells	Mertensia arizonica	mertensia-arizonica	mojave-plants-perennials/mertensia-arizonica.html	Boraginaceae	Forget-me-not	blue	Perennial	images/mojave-plants-thumbnails/mertensia-arizonica-t.jpg																							
Streamside Bluebells	Mertensia ciliata	mertensia-ciliata	mojave-plants-perennials/mertensia-ciliata.html	Boraginaceae	Forget-me-not	blue	Perennial	images/mojave-plants-thumbnails/mertensia-ciliata-t.jpg																							
Colorado Four O’clock	Mirabilis multiflora	mirabilis-multiflora	mojave-plants-perennials/mirabilis-multiflora.html	Nyctaginaceae	Four O’clock	purple	Perennial	images/mojave-plants-thumbnails/mirabilis-multiflora-t.jpg	oc																						
Tree Tobacco	Nicotiana glauca	nicotiana-glauca	mojave-plants-weeds/nicotiana-glauca.html	Solanaceae	Nightshades	yellow	Weed	images/mojave-plants-thumbnails/nicotiana-glauca-t.jpg																							
Tufted Evening Primrose	Oenothera caespitosa	oenothera-caespitosa	mojave-plants-perennials/oenothera-caespitosa.html	Onagraceae	Evening Primrose	"white, pink, purple"	Perennial	images/mojave-plants-thumbnails/oenothera-caespitosa-t.jpg																							
Scarlet Bee Blossom	Oenothera suffrutescens	oenothera-suffrutescens	mojave-plants-perennials/oenothera-suffrutescens.html	Onagraceae	Evening Primrose	"white, pink, red"	Perennial	images/mojave-plants-thumbnails/oenothera-suffrutescens-t.jpg																							
Parri’s Goldenrod	Oreochrysum parryi	oreochrysum-parryi	mojave-plants-perennials/oreochrysum-parryi.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/oreochrysum-parryi-t.jpg																							
Mountain Locoweed	Oxytropis oreophila	oxytropis-oreophila	mojave-plants-perennials/oxytropis-oreophila.html	Fabaceae	Pea	violet blue	Perennial	images/mojave-plants-thumbnails/oxytropis-oreophila-t.jpg																							
Palos Verde	Parkinsonia florida	parkinsonia-florida	mojave-plants-trees/parkinsonia-florida.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/parkinsonia-florida-t.jpg																							
Rydberg Penstemon	Penstemon rydbergii	penstemon-rydbergii	mojave-plants-perennials/penstemon-rydbergii.html	Plantaginaceae	Plantain	purple	Perennial	images/mojave-plants-thumbnails/penstemon-rydbergii-t.jpg																							
Royal Penstemon	Penstemon speciosus	penstemon-speciosus	mojave-plants-perennials/penstemon-speciosus.html	Plantaginaceae	Plantain	"blue, purple"	Perennial	images/mojave-plants-thumbnails/penstemon-speciosus-t.jpg																							
Mat Rock Spiraea	Petrophytum caespitosum	petrophytum-caespitosum	mojave-plants-perennials/petrophytum-caespitosum.html	Rosaceae	Rose	white	Perennial	images/mojave-plants-thumbnails/petrophytum-caespitosum-t.jpg																							
Fremont’s Phacelia	Phacelia fremontii	phacelia-fremontii	mojave-plants-annuals/phacelia-fremontii.html	Asteraceae	Sunflower	purple yellow	Annual	images/mojave-plants-thumbnails/phacelia-fremontii-t.jpg																							
Wooly Cinquefoil	Potentilla hippiana	potentilla-hippiana	mojave-plants-perennials/potentilla-hippiana.html	Rosaceae	Rose	yellow	Perennial	images/mojave-plants-thumbnails/potentilla-hippiana-t.jpg																							
