name	scientific	link	url	family	family-common	color	type	image	location																						
Fremont Indigo-bush	Psorothamnus fremontii	psorothamnus-fremontii	mojave-plants-shrubs/psorothamnus-fremontii.html	 Fabaceae	Pea	"blue, purple"	Shrub	images/mojave-plants-thumbnails/psorothamnus-fremontii-t.jpg																							
Iodinebush	Allenrolfea occidentalis	allenrolfea-occidentalis	mojave-plants-shrubs/allenrolfea-occidentalis.html	 Chenopodiaceae	Goosefoot	yellow	Shrub	images/mojave-plants-thumbnails/allenrolfea-occidentalis-t.jpg																							
Purplemat	Nama demissum	nama-demissum	mojave-plants-annuals/nama-demissum.html	 Boraginaceae	Forget-Me-Not	purple	Annual	images/mojave-plants-thumbnails/nama-demissum-t.jpg																							
Bigelow's Monkeyflower	Diplacus bigelovii	diplacus-bigelovii	mojave-plants-annuals/diplacus-bigelovii.html	 Phrymaceae	Lopseed	purple	Annual	images/mojave-plants-thumbnails/diplacus-bigelovii-t.jpg																							
Parry's Wild Buckwheat	Eriogonum brachypodum	eriogonum-brachypodum	mojave-plants-annuals/eriogonum-brachypodum.html	 Polygonaceae	Buckwheat	white	Annual	images/mojave-plants-thumbnails/eriogonum-brachypodum-t.jpg																							
Bristly Fiddleneck	Amsinckia tessellata	amsinckia-tessellata	mojave-plants-annuals/amsinckia-tessellata.html	 Boraginaceae	Borage	yellow	Annual	images/mojave-plants-thumbnails/amsinckia-tessellata-t.jpg																							
Desert Pincushion	Chaenactis stevioides	chaenactis-stevioides	mojave-plants-annuals/chaenactis-stevioides.html	 Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/chaenactis-stevioides-t.jpg																							
California Poppy	Eschscholzia californica	eschscholzia-californica	mojave-plants-annuals/eschscholzia-californica.html	 Papaveraceae	Poppy	orange	Annual	images/mojave-plants-thumbnails/eschscholzia-californica-t.jpg																							
Fendler's Meadow-rue	Thalictrum fendleri	thalictrum-fendleri	mojave-plants-perennials/thalictrum-fendleri.html	 Ranunculaceae	Buttercup	"white, yellow"	Perennial	images/mojave-plants-thumbnails/thalictrum-fendleri-t.jpg																							
Woolly Plantain	Plantago ovata	plantago-ovata	mojave-plants-weeds/plantago-ovata.html	 Plantaginaceae	Plantain	white	Weed	images/mojave-plants-thumbnails/plantago-ovata-t.jpg																							
Thompson's Beardtongue	Penstemon thompsoniae	penstemon-thompsoniae	mojave-plants-shrubs/penstemon-thompsoniae.html	 Plantaginaceae	Plantain	purple	Shrub	images/mojave-plants-thumbnails/penstemon-thompsoniae-t.jpg																							
Devil's Spineflower	Chorizanthe rigida	chorizanthe-rigida	mojave-plants-annuals/chorizanthe-rigida.html	 Polygonaceae	Buckwheat	yellow	Annual	images/mojave-plants-thumbnails/chorizanthe-rigida-t.jpg																							
Desert Trumpet	Eriogonum inflatum	eriogonum-inflatum	mojave-plants-perennials/eriogonum-inflatum.html	 Polygonaceae	Buckwheat	yellow	Perennial	images/mojave-plants-thumbnails/eriogonum-inflatum-t.jpg																							
Willow Baccharis	Baccharis salicina	baccharis-salicina	mojave-plants-shrubs/baccharis-salicina.html	Asteraceae	Sunflower	White	Shrub	images/mojave-plants-thumbnails/baccharis-salicina-t.jpg																							
Black Sagebrush	Artemisia nova	artemisia-nova	mojave-plants-shrubs/artemisia-nova.html	Asteraceae	Sunflower	brown	Shrub	images/mojave-plants-thumbnails/artemisia-nova-t.jpg																							
Mule Fat	Baccharis salicifolia	baccharis-salicifolia	mojave-plants-shrubs/baccharis-salicifolia.html	Asteraceae	Sunflower	white	Shrub	images/mojave-plants-thumbnails/baccharis-salicifolia-t.jpg																							
Broom Baccharis	Baccharis sarothroides	baccharis-sarothroides	mojave-plants-shrubs/baccharis-sarothroides.html	Asteraceae	Sunflower	"white, purple"	Shrub	images/mojave-plants-thumbnails/baccharis-sarothroides-t.jpg																							
Woolly Brickellbush	Brickellia incana	brickellia-incana	mojave-plants-shrubs/brickellia-incana.html	Asteraceae	Sunflower	white	Shrub	images/mojave-plants-thumbnails/brickellia-incana-t.jpg																							
Honey Mesquite	Neltuma glandulosa	neltuma-glandulosa	mojave-plants-trees/neltuma-glandulosa.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/neltuma-glandulosa-t.jpg																							
Screwbean Mesquite	Strombocarpa pubescens	strombocarpa-pubescens	mojave-plants-trees/strombocarpa-pubescens.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/strombocarpa-pubescens-t.jpg																							
Purple Three-awn Grass	Aristida purpurea	aristida-purpurea	mojave-plants-grasses/aristida-purpurea.html	Poaceae	True Grass	green	Grass	images/mojave-plants-thumbnails/aristida-purpurea-t.jpg																							
Beaked Spikerush	Eleocharis rostellata	eleocharis-rostellata	mojave-plants-grasses/eleocharis-rostellata.html	Cyperaceae	Sedges	"green, brown"	Grass	images/mojave-plants-thumbnails/eleocharis-rostellata-t.jpg																							
Baltic Rush	Juncus balticus	juncus-balticus	mojave-plants-grasses/juncus-balticus.html	Juncaceae	Rushes	brown	Grass	images/mojave-plants-thumbnails/juncus-balticus-t.jpg																							
Black Bog Rush	Schoenus nigricans	schoenus-nigricans	mojave-plants-grasses/schoenus-nigricans.html	Cyperaceae	Sedges	brown	Grass	images/mojave-plants-thumbnails/schoenus-nigricans-t.jpg																							
Hoary Alyssum	Berteroa incana	berteroa-incana	mojave-plants-weeds/berteroa-incana.html	Brassicaceae	Mustard	white	Weed	images/mojave-plants-thumbnails/berteroa-incana-t.jpg																							
Coulter's Horsetail	Laennecia coulteri	laennecia-coulteri	mojave-plants-weeds/laennecia-coulteri.html	Asteraceae	Sunflower	"white, pink"	Weed	images/mojave-plants-thumbnails/laennecia-coulteri-t.jpg																							
Yellow Toadflax	Lineria vulgaris	lineria-vulgaris	mojave-plants-weeds/lineria-vulgaris.html	Plantaginaceae	Plantain	"yellow, orange"	Weed	images/mojave-plants-thumbnails/lineria-vulgaris-t.jpg																							
Desert Tobacco	Nicotiana obtusifolia	nicotiana-obtusifolia	mojave-plants-weeds/nicotiana-obtusifolia.html	Solanaceae	"Nightshades, Potato"	white	Weed	images/mojave-plants-thumbnails/nicotiana-obtusifolia-t.jpg																							
Marsh Fleabane	Pluchea odorata	pluchea-odorata	mojave-plants-weeds/pluchea-odorata.html	Asteraceae	Sunflower	purple	Weed	images/mojave-plants-thumbnails/pluchea-odorata-t.jpg																							
Pale Evening Primrose	Oenothera pallida	oenothera-pallida	mojave-plants-perennials/oenothera-pallida.html	Onagraceae	Evening Primrose	"white, pink"	Perennial	images/mojave-plants-thumbnails/oenothera-pallida-t.jpg																							
Parralena	Thymophylla pentachaeta	thymophylla-pentachaeta	mojave-plants-perennials/thymophylla-pentachaeta.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/thymophylla-pentachaeta-t.jpg																							
Sweet Acacia	Vachellia farnesiana	vachellia-farnesiana	mojave-plants-trees/vachellia-farnesiana.html	Fabaceae	Pea	yellow	Tree	images/mojave-plants-thumbnails/vachellia-farnesiana-t.jpg																							
Indian Ricegrass	Achnatherum hymenoides	achnatherum-hymenoides	mojave-plants-grasses/achnatherum-hymenoides.html	Poaceae	Grass	yellow	Grass	images/mojave-plants-thumbnails/achnatherum-hymenoides-t.jpg																							
Bushy Bluestem	Andropogon glomeratus	andropogon-glomeratus	mojave-plants-grasses/andropogon-glomeratus.html	Poaceae	Grass	white	Grass	images/mojave-plants-thumbnails/andropogon-glomeratus-t.jpg																							
Orchard Grass	Dactylis glomerata	dactylis-glomerata	mojave-plants-grasses/dactylis-glomerata.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/dactylis-glomerata-t.jpg																							
Desert Fluff-grass	Dasyochloa pulchella	dasyochloa-pulchella	mojave-plants-grasses/dasyochloa-pulchella.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/dasyochloa-pulchella-t.jpg																							
Big Galletta	Hilaria rigida	hilaria-rigida	mojave-plants-grasses/hilaria-rigida.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/hilaria-rigida-t.jpg																							
Deer Grass	Muhlenbergia rigens	muhlenbergia-rigens	mojave-plants-grasses/muhlenbergia-rigens.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/muhlenbergia-rigens-t.jpg																							
Witchgrass	Panicum capillare	panicum-capillare	mojave-plants-grasses/panicum-capillare.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/panicum-capillare-t.jpg																							
California Bulrush	Schoenoplectus californicus	schoenoplectus-californicus	mojave-plants-grasses/schoenoplectus-californicus.html	Cyperaceae	Sedge	brown	Grass	images/mojave-plants-thumbnails/schoenoplectus-californicus-t.jpg																							
Alkali Sacaton	Sporobolus airoides	sporobolus-airoides	mojave-plants-grasses/sporobolus-airoides.html	Poaceae	Grass	yellow	Grass	images/mojave-plants-thumbnails/sporobolus-airoides-t.jpg																							
Southern Cattail	Typha domingensis	typha-domingensis	mojave-plants-grasses/typha-domingensis.html	Typhaceae	Cattail	brown	Grass	images/mojave-plants-thumbnails/typha-domingensis-t.jpg		
Burmuda Grass	Cynodon dactylon	cynodon-dactylon	mojave-plants-grasses/cynodon-dactylon.html	Poaceae	Grass	purple	Grass	images/mojave-plants-thumbnails/cynodon-dactylon-t.jpg		
Quackgrass Grass	Elymus repens	elymus-repens	mojave-plants-grasses/elymus-repens.html	Poaceae	Grass	white	Grass	images/mojave-plants-thumbnails/elymus-repens-t.jpg
Smallwing Sedge	Carex microptera	carex-microptera	mojave-plants-grasses/carex-microptera.html	Cyperaceae	Sedge	green	Grass	images/mojave-plants-thumbnails/carex-microptera-t.jpg
Cheatgrass	Bromus tectorum	bromus-tectorum	mojave-plants-grasses/bromus-tectorum.html	Poaceae	Grass	purple	Grass	images/mojave-plants-thumbnails/bromus-tectorum-t.jpg
Cane Bluestem	Bothriochloa barbinodis	bothriochloa-barbinodis	mojave-plants-grasses/bothriochloa-barbinodis.html	Poaceae	Grass	purple	Grass	images/mojave-plants-thumbnails/bothriochloa-barbinodis-t.jpg
Red Brome	Bromus madritensis ssp. rubens	bromus-madritensis	mojave-plants-grasses/bromus-madritensis.html	Poaceae	Grass	red	Grass	images/mojave-plants-thumbnails/bromus-madritensis-t.jpg
Johnson Grass	Sorghum halepense	sorghum-halepense	mojave-plants-grasses/sorghum-halepense.html	Poaceae	Grass	red	Grass	images/mojave-plants-thumbnails/sorghum-halepense-t.jpg
Shockley's Goldenhead	Acamptopappus shockleyi	acamptopappus-shockleyi	mojave-plants-shrubs/acamptopappus-shockleyi.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/acamptopappus-shockleyi-t.jpg
Plains Lovegrass	Eragrostis intermedia	eragrostis-intermedia	mojave-plants-grasses/eragrostis-intermedia.html	Poaceae	Grass	green	Grass	images/mojave-plants-thumbnails/eragrostis-intermedia-t.jpg
Wall Barley	Hordeum murinum	hordeum-murinum	mojave-plants-grasses/hordeum-murinum.html	Poaceae	Grass	red	Grass	images/mojave-plants-thumbnails/hordeum-murinum-t.jpg
Great Basin Bristlecone Pine	Pinus longaeva	pinus-longaeva	mojave-plants-trees/pinus-longaeva.html	Pinaceae	Pine Trees	purple	Tree	images/mojave-plants-thumbnails/pinus-longaeva-t.jpg
White Bursage	Ambrosia dumosa	ambrosia-dumosa	mojave-plants-shrubs/ambrosia-dumosa.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/ambrosia-dumosa-t.jpg
Flatbud Prickly Poppy	Argemone munita	argemone-munita	mojave-plants-annuals/argemone-munita.html	Papaveraceae	Poppy	white	Annual	images/mojave-plants-thumbnails/argemone-munita-t.jpg
Gravel Ghost	Atrichoseris platyphylla	atrichoseris-platyphylla	mojave-plants-annuals/atrichoseris-platyphylla.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/atrichoseris-platyphylla-t.jpg
Salt Marsh Dodder	Cuscuta salina	cuscuta-salina	mojave-plants-perennials/cuscuta-salina.html	Convolvulaceae	Bindweed	white	Perennial, Parasite	images/mojave-plants-thumbnails/cuscuta-salina-t.jpg
Creosote Bush	Larrea tridentata	larrea-tridentata	mojave-plants-shrubs/larrea-tridentata.html	Zygophyllaceae	Caltrop	yellow	Shrub	images/mojave-plants-thumbnails/larrea-tridentata-t.jpg
Desert Broomrape	Orobanche cooperi	orobanche-cooperi	mojave-plants-perennials/orobanche-cooperi.html	Orobanchaceae	Broomrape	purple	Perennial, Parasite	images/mojave-plants-thumbnails/orobanche-cooperi-t.jpg
Desert Mistletoe	Phoradendron californicum	phoradendron-californicum	mojave-plants-perennials/phoradendron-californicum.html	Santalaceae	Sandalwood	yellow, green	Perennial, Parasite	images/mojave-plants-thumbnails/phoradendron-californicum-t.jpg
Scented Shooting Star	Primula fragrans	primula-fragrans	mojave-plants-perennials/primula-fragrans.html	Primulaceae	Primrose	purple	Perennial	images/mojave-plants-thumbnails/primula-fragrans-t.jpg
Spanish False Fleabane	Pulicaria paludosa	pulicaria-paludosa	mojave-plants-perennials/pulicaria-paludosa.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/pulicaria-paludosa-t.jpg
Arizona Grape	Vitis arizonica	vitis-arizonica	mojave-plants-perennials/vitis-arizonica.html	Vitaceae	Grape	white	Perennial	images/mojave-plants-thumbnails/vitis-arizonica-t.jpg
Rough Cocklebur	Xanthium strumarium	xanthium-strumarium	mojave-plants-annuals/xanthium-strumarium.html	Asteraceae	Sunflower	green	Annual	images/mojave-plants-thumbnails/xanthium-strumarium-t.jpg
