name	scientific	url	order	order-common	family	family-common	image	location											
Small Milkweed Bug	Lygaeus kalmii	mojave-insects/lygaeus-kalmii.html	Hemiptera	True Bugs	Lygaeidae	Seed Bugs	images/mojave-insects-thumbnails/lygaeus-kalmii-t.jpg												
Southern Emerald	Synchlora frondaria	mojave-insects/synchlora-frondaria.html	Lepidoptera	Moths	Geometridae	Inchworms	images/mojave-insects-thumbnails/synchlora-frondaria-t.jpg												
Northern White-skipper	Heliopetes ericetorum	mojave-insects/heliopetes-ericetorum.html	Lepidoptera	Flying Insects	Hesperiidae	Butterflies and Moths	images/mojave-insects-thumbnails/heliopetes-ericetorum-t.jpg												
Apache cicada	Diceroprocta apache	mojave-insects/diceroprocta-apache.html	Hemiptera	True Bugs	Cicadidae	Cicadas	images/mojave-insects-thumbnails/diceroprocta-apache-t.jpg												
White Checkered-skipper	Burnsius albezens	mojave-insects/burnsius-albezens.html	Lepidoptera	Flying Insects	Hesperiidae	Butterflies and Moths	images/mojave-insects-thumbnails/burnsius-albezens-t.jpg												
Gray Flesh Fly	Sarcophaga bullata	mojave-insects/sarcophaga-bullata.html	Diptera	Flies	Sarcophagidae	Flesh Flies	images/mojave-insects-thumbnails/sarcophaga-bullata-t.jpg												
