scientific	common	links	image	url	thumbnail	order	family	
Lygaeus kalmii	Small Milkweed Bug	lygaeus-kalmii	images/mojave-insects/lygaeus-kalmii.jpg	mojave-insects/lygaeus-kalmii.html	images/mojave-insects-thumbnails/lygaeus-kalmii-t.jpg	Hemiptera (True Bugs)	Lygaeidae (Seed Bugs)	
Synchlora frondaria	Southern Emerald	synchlora-frondaria	images/mojave-insects/synchlora-frondaria.jpg	mojave-insects/synchlora-frondaria.html	images/mojave-insects-thumbnails/synchlora-frondaria-t.jpg	Lepidoptera (Winged Insects)	Geometridae (Inchworms)	
Heliopetes ericetorum	Northern White-skipper	heliopetes-ericetorum	images/mojave-insects/heliopetes-ericetorum.jpg	mojave-insects/heliopetes-ericetorum.html	images/mojave-insects-thumbnails/heliopetes-ericetorum-t.jpg	Lepidoptera (Winged Insects)	Hesperiidae (Butterflies and Moths)	
Diceroprocta apache	Apache cicada	diceroprocta-apache	images/mojave-insects/diceroprocta-apache.jpg	mojave-insects/diceroprocta-apache.html	images/mojave-insects-thumbnails/diceroprocta-apache-t.jpg	Hemiptera (True Bugs)	Cicadidae (Cicadas)	
Burnsius albezens	White Checkered-skipper	burnsius-albezens	images/mojave-insects/burnsius-albezens.jpg	mojave-insects/burnsius-albezens.html	images/mojave-insects-thumbnails/burnsius-albezens-t.jpg	Lepidoptera (Butterflies)	 Hesperiidae (Skipper)	
Sarcophaga bullata	Gray Flesh Fly	sarcophaga-bullata	images/mojave-insects/sarcophaga-bullata.jpg	mojave-insects/sarcophaga-bullata.html	images/mojave-insects-thumbnails/sarcophaga-bullata-t.jpg	Diptera (Flies)	 Sarcophagidae (Flesh Flies)	
Tramea lacerata	Black Saddlebags	tramea-lacerata	images/mojave-insects/tramea-lacerata.jpg	mojave-insects/tramea-lacerata.html	images/mojave-insects-thumbnails/tramea-lacerata-t.jpg	Odonata (Preditory Flying Insects)	 Libellulidae (Skimmers)	
Bombus huntii	Hunt's Bumble Bee	bombus-huntii	images/mojave-insects/bombus-huntii.jpg	mojave-insects/bombus-huntii.html	images/mojave-insects-thumbnails/bombus-huntii-t.jpg	Hymenoptera (Bee)	Apidae (Bee)	
Pachydiplax longipennis	Blue Dasher	pachydiplax-longipennis	images/mojave-insects/pachydiplax-longipennis.jpg	mojave-insects/pachydiplax-longipennis.html	images/mojave-insects-thumbnails/pachydiplax-longipennis-t.jpg	Odonata (Preditory Flying Insects)	Libellulidae (Skimmers)	
Bombus sonorus	Sonoran Bumble Bee	bombus-sonorus	images/mojave-insects/bombus-sonorus.jpg	mojave-insects/bombus-sonorus.html	images/mojave-insects-thumbnails/bombus-sonorus-t.jpg	Hymenoptera (Bee)	Apidae (Bee)	
Dasymutilla satanas	Satan's Velvet Ant	dasymutilla-satanas	images/mojave-insects/dasymutilla-satanas.jpg	mojave-insects/dasymutilla-satanas.html	images/mojave-insects-thumbnails/dasymutilla-satanas-t.jpg	Satan's Velvet Ant	Mutillidae (Velvet Ants)	
Libellula luctuosa	Widow Skimmer	libellula-luctuosa	images/mojave-insects/libellula-luctuosa.jpg	mojave-insects/libellula-luctuosa.html	images/mojave-insects-thumbnails/libellula-luctuosa-t.jpg	Odonata (Predatory Flying Insects)	Libellulidae (Dragonflies)	
Nathalis iole	Dainty Sulphur	nathalis-iole	images/mojave-insects/nathalis-iole.jpg	mojave-insects/nathalis-iole.html	images/mojave-insects-thumbnails/nathalis-iole-t.jpg	Lepidopterans (Butterflies and Moths)	Pieridae (White and Sulfers)	
Xylocopa sonorina	Valley Carpenter Bee	xylocopa-sonorina	images/mojave-insects/xylocopa-sonorina.jpg	mojave-insects/xylocopa-sonorina.html	images/mojave-insects-thumbnails/xylocopa-sonorina-t.jpg	"Hymenoptera (Bees, Wasps, Ants)"	Apidae (Bees)	
Hetaerina americana	American Rubyspot	hetaerina-americana	images/mojave-insects/hetaerina-americana.jpg	mojave-insects/hetaerina-americana.html	images/mojave-insects-thumbnails/hetaerina-americana-t.jpg	Odonata (Predatory Flying Insects)	Calopterygidae (Broad-winged Damselflies)	
Colias eurytheme	Orange Sulphur	colias-eurytheme	images/mojave-insects/colias-eurytheme.jpg	mojave-insects/colias-eurytheme.html	images/mojave-insects-thumbnails/colias-eurytheme-t.jpg	Lepidoptera (Butterflies and Moths)	Pieridae (Whites and Sulfers)	
Chlosyne californica	California Patch	chlosyne-californica	images/mojave-insects/chlosyne-californica.jpg	mojave-insects/chlosyne-californica.html	images/mojave-insects-thumbnails/chlosyne-californica-t.jpg	Lepidoptera (Butterflies and Moths)	Chlosyne (Butterflies)	
Chlorion aerarium	Steel-blue Cricket Hunter Wasp	chlorion-aerarium	images/mojave-insects/chlorion-aerarium.jpg	mojave-insects/chlorion-aerarium.html	images/mojave-insects-thumbnails/chlorion-aerarium-t.jpg	"Hymenoptera (Bees, Wasps, Ants)"	Sphecidae (Thread-waisted Wasps)	
Argia vivida	Vivid Dancer	argia-vivida	images/mojave-insects/argia-vivida.jpg	mojave-insects/argia-vivida.html	images/mojave-insects-thumbnails/argia-vivida-t.jpg	Odonata (Predatory Flying Insects)	Coenagrionidae (Damselflies)	
Anax junius	Green Darner	anax-junius	images/mojave-insects/anax-junius.jpg	mojave-insects/anax-junius.html	images/mojave-insects-thumbnails/anax-junius-t.jpg	Odonata (Dragonflies and Damselflies)	"Aeshnidae (Aeshnids, Hawkers, or Darners)"	
Apodemia palmeri	Palmer's Metalmark	apodemia-palmeri	images/mojave-insects/apodemia-palmeri.jpg	mojave-insects/apodemia-palmeri.html	images/mojave-insects-thumbnails/apodemia-palmeri-t.jpg	Lepidoptera (Butterflies and Moths)	Riodinidae (Metalmark Butterflies)	
