name	scientific	url	family	family-common	color	type	image	location											
Blackbrush	Coleogyne ramosissima	mojave-plants-shrubs/coleogyne-ramosissima.html	Roseacea	Rose	yellow	Shrub	images/mojave-plants-thumbnails/coleogyne-ramosissima-t.jpg	oc											
Bigelow’s Tansyaster	Dieteria bigelovii var. commixta	mojave-plants-perennials/dieteria-bigelovii.html	Asteraceae	Daisy	purple	Perennial	images/mojave-plants-thumbnails/dieteria-bigelovii-t.jpg												
Hoary Aster	Dieteria canescens	mojave-plants-perennials/dieteria-canescens.html	Asteraceae	Sunflower	purple	Perennial	images/mojave-plants-thumbnails/dieteria-canescens-t.jpg												
Engelmann's Hedgehog Cactus	Echinocereus engelmannii	mojave-plants-cactus/echinocereus-engelmannii.html	Cactaceae	Cactus	purple	Cactus	images/mojave-plants-thumbnails/echinocereus-engelmannii-t.jpg	oc											
Virgin River Brittlebush 	Encelia virginensis	mojave-plants-shrubs/encelia-virginensis.html	Asteraceae	Sunflower 	yellow	Shrub	images/mojave-plants-thumbnails/encelia-virginensis-t.jpg	oc											
Nevada Jointfir	Ephedra nevadensis	mojave-plants-shrubs/ephedra-nevadensis.html	Ephedraceae	Ephedra	yellow	Shrub	images/mojave-plants-thumbnails/ephedra-nevadensis-t.jpg												
Fendler’s Sandwort	Eremogone fendleri	mojave-plants-perennials/eremogone-fendleri.html	Caryophyllaceae	Carnation	white	Perennial	images/mojave-plants-thumbnails/eremogone-fendleri-t.jpg												
Showy Fleabane	Erigeron speciosus	mojave-plants-perennials/erigeron-speciosus.html	Asteraceae	Daisy	purple	Perennial	images/mojave-plants-thumbnails/erigeron-speciosus-t.jpg												
Narrow Leaved Yerba Santa	Eriodictyon angustifolium	mojave-plants-shrubs/eriodictyon-angustifolium.html	Namaceae	Nama	white	Shrub	images/mojave-plants-thumbnails/eriodictyon-angustifolium-t.jpg	oc											
Slender Buckwheat	Eriogonum microtheca	mojave-plants-shrubs/eriogonum-microtheca.html	Polygonaceae	Knotweed	white, red , pink , yellow	Shrub	images/mojave-plants-thumbnails/eriogonum-microtheca-t.jpg												
Sulphurflower Buckwheat	Eriogonum umbellatum	mojave-plants-perennials/eriogonum-umbellatum.html	Polygonaceae	Knotweed	yellow red	Perennial	images/mojave-plants-thumbnails/eriogonum-umbellatum-t.jpg												
Wright’s Buckwheat	Eriogonum wrightii var subscaposum	mojave-plants-perennials/eriogonum-wrightii.html	Polygonaceae	Knotweed	white pink	Perennial	images/mojave-plants-thumbnails/eriogonum-wrightii-t.jpg												
Wallace's Woolly Daisy	Eriophyllum wallacei	mojave-plants-annuals/eriophyllum-wallacei.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/eriophyllum-wallacei-t.jpg												
Desert Rock Nettle	Eucnide urens	mojave-plants-perennials/eucnide-urens.html	Loasaceae	Loasa	"white, yellow"	Perennial	images/mojave-plants-thumbnails/eucnide-urens-t.jpg												
Apache Plume	Fallugia paradoxa	mojave-plants-shrubs/fallugia-paradoxa.html	Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/fallugia-paradoxa-t.jpg												
California Barrel Cactus	Ferocactus cylindraceus	mojave-plants-cactus/ferocactus-cylindraceus.html	Cactaceae	Cactus	cactus	Cactus	images/mojave-plants-thumbnails/ferocactus-cylindraceus-t.jpg	oc											
Richardson’s Geranium	Geranium richardsonii	mojave-plants-perennials/geranium-richardsonii.html	Geraniaceae	Geranium	white pink	Perennial	images/mojave-plants-thumbnails/geranium-richardsonii-t.jpg												
Southwestern Mock Vervain	Glandularia gooddingii	mojave-plants-perennials/glandularia-gooddingii.html	Verbenaceae	Verbena	"purple, pink"	Perennial	images/mojave-plants-thumbnails/glandularia-gooddingii-t.jpg												
Broom Snakeweed	Gutierrezia sarothrae	mojave-plants-perennials/gutierrezia-sarothrae.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/gutierrezia-sarothrae-t.jpg												
Oneflower	Helianthella uniflora	mojave-plants-perennials/helianthella-uniflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/helianthella-uniflora-t.jpg												
Common Sunflower	Helianthus anus	mojave-plants-annuals/helianthus-annus.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/helianthus-annus-t.jpg												
Showy Goldeneye	Heliomeris multiflora	mojave-plants-perennials/heliomeris-multiflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-t.jpg												
Nevada Goldeneye	Heliomeris multiflora var. nevadensis	mojave-plants-perennials/heliomeris-multiflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-t.jpg												
Pingue Rubberweed	Hymenoxys richardsonii	mojave-plants-perennials/hymenoxys-richardsonii.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/hymenoxys-richardsonii-t.jpg												
Winterfat	Krascheninnikovia lanata	mojave-plants-shrubs/krascheninnikovia-lanata.html	Amaranthaceae	Amaranth	white	Shrub	images/mojave-plants-thumbnails/krascheninnikovia-lanata-t.jpg	oc											
Prickly Lettuce	Lactuca serriola	mojave-plants-weeds/lactuca-serriola.html	Asteraceae	Sunflower	yellow	Weed	images/mojave-plants-thumbnails/lactuca-serriola-t.jpg												
Tall Whitetop	Lepidium latifolium	mojave-plants-weeds/lepidium-latifolium.html	Brassicaceae	Mustard	white	Weed	images/mojave-plants-thumbnails/lepidium-latifolium-t.jpg												
Nuttall’s Linanthus	Leptosiphon nuttallii ssp. pubescens	mojave-plants-perennials/leptosiphon-nuttallii.html	Polemoniaceae	Phlox	white	Perennial	images/mojave-plants-thumbnails/leptosiphon-nuttallii-t.jpg												
Oxeye Daisy	Leucanthemum vulgare	mojave-plants-perennials/leucanthemum-vulgare.html	Asteraceae	Sunflower	white yellow	Perennial	images/mojave-plants-thumbnails/leucanthemum-vulgare-t.jpg												
Balkan Toadflax	Linaria dalmatica	mojave-plants-weeds/linaria-dalmatica.html	Plantaginaceae	Plantain	yellow orange	Weed	images/mojave-plants-thumbnails/linaria-dalmatica-t.jpg												
Lewis Flax	Linum lewisii	mojave-plants-perennials/linum-lewisii.html	Linaceae	Flax	"white, blue, purple"	Perennial	images/mojave-plants-thumbnails/linum-lewisii-t.jpg												
Silvery Lupine	Lupinus argenteus	mojave-plants-perennials/lupinus-argenteus.html	Fabaceae	Pea	blue violet	Perennial	images/mojave-plants-thumbnails/lupinus-argenteus-t.jpg												
Velvet Lupine	Lupinus leucophyllus	mojave-plants-perennials/lupinus-leucophyllus.html	Fabaceae	Pea	white, purple	Perennial	images/mojave-plants-thumbnails/lupinus-leucophyllus-t.jpg	oc											
Fremont’s Desert-Thorn	Lycium fremontii	mojave-plants-shrubs/lycium-fremontii.html	Solanaceae	Nightshades	purple, white	Shrub	images/mojave-plants-thumbnails/lycium-fremontii-t.jpg												
Desert Dandelion	Malacothrix glabrata	mojave-plants-annuals/malacothrix-glabrata.html	Asteraceae	Sunflower	white	Annual	images/mojave-plants-thumbnails/malacothrix-glabrata-t.jpg												
