name	scientific	url	family	family-common	color	type	image	location											
Yarrow	Achillea millefolium	mojave-plants-perennials/achillea-millefolium.html	Asteraceae	Sunflower	White	Perennial	images/mojave-plants-thumbnails/achillea-millefolium-t.jpg												
Silvery Lupine	Lupinus argenteus	mojave-plants-perennials/lupinus-argenteus.html	Fabaceae	Pea	Blue Violet	Perennial	images/mojave-plants-thumbnails/lupinus-argenteus-t.jpg												
Arizona Dock	Rumex hymenosepalus	mojave-plants-perennials/rumex-hymenosepalus.html	Polygonaceae	Knotweed	Red	Perennial	images/mojave-plants-thumbnails/rumex-hymenosepalus-t.jpg												
Sulphurflower Buckwheat	Eriogonum umbellatum	mojave-plants-perennials/eriogonum-umbellatum.html	Polygonaceae	Knotweed	Yellow Red	Perennial	images/mojave-plants-thumbnails/eriogonum-umbellatum-t.jpg												
Wright’s Buckwheat	Eriogonum wrightii var subscaposum	mojave-plants-perennials/eriogonum-wrightii.html	Polygonaceae	Knotweed	White Pink	Perennial	images/mojave-plants-thumbnails/eriogonum-wrightii-t.jpg												
Pingue Rubberweed	Hymenoxys richardsonii	mojave-plants-perennials/hymenoxys-richardsonii.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/hymenoxys-richardsonii-t.jpg												
Pale Agoseris	Agoseris glauca	mojave-plants-perennials/agoseris-glauca.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/agoseris-glauca-t.jpg												
Colorado Columbine	Aquilegia coerulea var. ochroleuca	mojave-plants-perennials/aquilegia-coerulea.html	Ranunculaceae	Buttercup	White Blue	Perennial	images/mojave-plants-thumbnails/aquilegia-coerulea-var.-ochroleuca-t.jpg												
Showy Goldeneye	Heliomeris multiflora	mojave-plants-perennials/heliomeris-multiflora.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/heliomeris-multiflora-t.jpg												
Desert Senna	Senna covesii	mojave-plants-perennials/senna-covesii.html	Fabaceae	Pea	Yellow	Perennial	images/mojave-plants-thumbnails/senna-covesii-t.jpg												
Richardson’s Geranium	Geranium richardsonii	mojave-plants-perennials/geranium-richardsonii.html	Geranium	Geraniaceae	White Pink	Perennial	images/mojave-plants-thumbnails/geranium-richardsonii-t.jpg												
Oneflower	Helianthella uniflora	mojave-plants-perennials/helianthella-uniflora.html	Asteraceae	Sunflower	Yellow	Perennial	images/mojave-plants-thumbnails/helianthella-uniflora-t.jpg												
Rydberg Penstemon	Penstemon rydbergii	mojave-plants-perennials/penstemon-rydbergii.html	Plantaginaceae	Plantain	Violet Blue	Perennial	images/mojave-plants-thumbnails/penstemon-rydbergii-t.jpg												
Royal Penstemon	Penstemon speciosus	mojave-plants-perennials/penstemon-speciosus.html	Plantaginaceae	Plantain	Blue Violet	Perennial	images/mojave-plants-thumbnails/penstemon-speciosus-t.jpg												
