name	scientific	url	family	family-common	color	type	image	location											
Richardson’s Geranium	Geranium richardsonii	mojave-plants-perennials/geranium-richardsonii.html	Geranium	Geraniaceae	white pink	Perennial	images/mojave-plants-thumbnails/geranium-richardsonii-t.jpg												
Oneflower	Helianthella uniflora	mojave-plants-perennials/helianthella-uniflora.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/helianthella-uniflora-t.jpg												
Rydberg Penstemon	Penstemon rydbergii	mojave-plants-perennials/penstemon-rydbergii.html	Plantaginaceae	Plantain	violet blue	Perennial	images/mojave-plants-thumbnails/penstemon-rydbergii-t.jpg												
Royal Penstemon	Penstemon speciosus	mojave-plants-perennials/penstemon-speciosus.html	Plantaginaceae	Plantain	blue violet	Perennial	images/mojave-plants-thumbnails/penstemon-speciosus-t.jpg												
Fendler’s Sandwort	Eremogone fendleri	mojave-plants-perennials/eremogone-fendleri.html	Caryophyllaceae	Carnation	white	Perennial	images/mojave-plants-thumbnails/eremogone-fendleri-t.jpg												
Common Mullein	Verbascum thapsus	mojave-plants-perennials/verbascum-thapsus.html	Scrophulariaceae	Figwort	yellow	Perennial	images/mojave-plants-thumbnails/verbascum-thapsus-t.jpg												
Clokey’s Egg Milkvetch	Astragalus oophorus var. clokeyanus	mojave-plants-perennials/astragalus-oophorus.html	Fabaceae	Pea	"purple, white"	Perennial	images/mojave-plants-thumbnails/astragalus-oophorus-var.-clokeyanus-t.jpg												
Hoary Aster	Dieteria canescens	mojave-plants-perennials/dieteria-canescens.html	Asteraceae	Sunflower	purple	Perennial	images/mojave-plants-thumbnails/dieteria-canescens-t.jpg												
Mat Rock Spiraea	Petrophytum caespitosum	mojave-plants-perennials/petrophytum-caespitosum.html	Rosaceae	Rose	white	Perennial	images/mojave-plants-thumbnails/petrophytum-caespitosum-t.jpg												
Fendler’s Sandmat	Chamaesyce fendleri	mojave-plants-perennials/chamaesyce-fendleri.html	Euphorbiaceae	Spurge	"white, red, yellow, green"	Perennial	images/mojave-plants-thumbnails/chamaesyce-fendleri-t.jpg												
Western Columbine	Aquilegia formosa	mojave-plants-perennials/aquilegia-formosa.html	Ranunculaceae	Buttercup	"red, yellow"	Perennial	images/mojave-plants-thumbnails/aquilegia-formosa-t.jpg												
Desert Princes’ Plume	Stanleya pinnata	mojave-plants-perennials/stanleya-pinnata.html	Brassicaceae	Mustard	yellow	Perennial	images/mojave-plants-thumbnails/stanleya-pinnata-t.jpg												
Broom Snakeweed	Gutierrezia sarothrae	mojave-plants-perennials/gutierrezia-sarothrae.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/gutierrezia-sarothrae-t.jpg												
Charleston Mountain Angelica	Angelica scabrida	mojave-plants-perennials/angelica-scabrida.html	Apiaceae	Parsley	white	Perennial	images/mojave-plants-thumbnails/angelica-scabrida-t.jpg												
Tufted Evening Primrose	Oenothera caespitosa	mojave-plants-perennials/oenothera-caespitosa.html	Onagraceae	Evening Primrose	"white, pink, violet, purple"	Perennial	images/mojave-plants-thumbnails/oenothera-caespitosa-t.jpg												
Scarlet Bee Blossom	Oenothera suffrutescens	mojave-plants-perennials/oenothera-suffrutescens.html	Onagraceae	Evening Primrose	"white, pink, red"	Perennial	images/mojave-plants-thumbnails/oenothera-suffrutescens-t.jpg												
